eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
64.71428571428571,0.6285714285714287,68,1.9650004e-06,0.0,2.9444373,-0.00031705882,0.03324491,0.012964308261871338,1,128,14.92444405000424,1024
97.5625,0.48125,67,1.8123525e-06,0.0,2.9444273,-0.00018863814,0.01606611,0.03874480724334717,2,256,30.146155886992346,2048
92.11111111111111,0.3444444444444445,73,3.4338389e-06,0.0,2.944417,-0.00030481178,0.0065091555,0.20661842823028564,3,384,44.0212015400175,3072
98.61111111111111,0.26944444444444443,75,5.741752e-06,0.0,2.944388,-0.00039037934,0.009733453,0.2584810256958008,4,512,57.5463160899817,4096
96.47916666666667,0.2604166666666667,72,1.5877535e-05,0.0,2.9443064,-0.00075558596,0.0015890446,0.28626877069473267,5,640,71.7660644929856,5120
94.75,0.24821428571428575,81,1.3231399e-05,0.0,2.9441717,-0.00045970437,0.002355079,0.5635391771793365,6,768,84.27498480101349,6144
97.91304347826087,0.2347826086956522,93,1.0750889e-05,0.0,2.9442139,-0.00053175644,0.015039732,0.2686918377876282,7,896,95.21208937698975,7168
98.94594594594595,0.245945945945946,74,7.562611e-05,0.0,2.943938,-0.001521335,0.0061050425,0.5514785945415497,8,1024,108.98918272700394,8192
102.19767441860465,0.21627906976744188,72,0.00012942699,0.0,2.94283,-0.0011499578,0.0073984237,0.5340588688850403,9,1152,123.12538618798135,9216
101.51063829787235,0.23085106382978735,79,0.00035071382,0.0,2.9410641,-0.002039206,0.0147705125,0.4514968991279602,10,1280,135.97690017399145,10240
105.37,0.21000000000000008,70,0.003880232,0.020507812,2.9291103,-0.006017387,0.0018494386,0.6141093373298645,11,1408,150.45280298398575,11264
109.37,0.20000000000000007,70,0.0073606214,0.0546875,2.8846436,-0.010377514,0.016236898,0.49477630853652954,12,1536,164.9266318270238,12288
106.49,0.24800000000000005,80,0.0071315095,0.055419922,2.8594537,-0.009823966,0.022207445,0.5109884142875671,13,1664,177.59719967003912,13312
106.86,0.25100000000000006,85,0.007447027,0.05029297,2.7836287,-0.007656141,0.0069078743,0.5168055891990662,14,1792,189.51882284501335,14336
106.84,0.24600000000000005,76,0.005485444,0.016113281,2.7232478,-0.0068412866,0.005226673,0.43291807174682617,15,1920,202.92905035999138,15360
111.87,0.26400000000000007,72,0.00960555,0.045166016,2.60333,-0.0068313824,0.013256035,0.3976665735244751,16,2048,217.03915683098603,16384
116.46,0.301,77,0.005118173,0.0053710938,2.6232479,-0.006252965,0.025792195,0.29643386602401733,17,2176,230.1964815580286,17408
115.89,0.343,69,0.0072727352,0.041259766,2.6009586,-0.010146608,0.013583876,0.594926118850708,18,2304,244.90171400998952,18432
112.12,0.40199999999999997,70,0.012493819,0.095214844,2.5048091,-0.010323758,0.03030946,0.5096211135387421,19,2432,259.3335107029998,19456
115.03,0.43400000000000005,88,0.008120957,0.036132812,2.5277214,-0.006380708,0.016858395,0.45522791147232056,20,2560,270.8493591080187,20480
115.65,0.504,79,0.01840154,0.14672852,2.3365438,-0.01578471,0.04119402,0.42656511068344116,21,2688,283.6601750429836,21504
113.38,0.597,73,0.0033698792,0.016601562,2.2640264,-0.005343834,0.032432694,0.5716549456119537,22,2816,297.53619508398697,22528
109.47,0.644,81,0.008392105,0.025634766,2.1618228,-0.003177222,0.030899674,0.5556909143924713,23,2944,310.03860621800413,23552
112.23,0.7020000000000001,74,0.013094551,0.12475586,2.1104305,-0.01167826,0.037635237,0.4296807050704956,24,3072,323.7606169889914,24576
108.59,0.7919999999999999,70,0.009559014,0.08691406,2.098611,-0.008635065,0.038054645,0.5059354305267334,25,3200,338.29848563100677,25600
104.47,0.8329999999999999,77,0.0067681754,0.052001953,2.1062157,-0.0083602695,0.021274311,0.6855477094650269,26,3328,351.5488715560059,26624
99.73,0.8469999999999996,80,0.002207358,0.0026855469,1.9813709,-0.002783056,0.03223585,0.5801864266395569,27,3456,364.26408301398624,27648
98.65,0.856,81,0.008718192,0.05834961,2.0762887,-0.009666703,0.022601813,0.6550332605838776,28,3584,376.8843055139878,28672
100.96,0.8960000000000001,83,0.011521848,0.06640625,1.939445,-0.006796149,0.030084819,0.6382119953632355,29,3712,389.17170993902255,29696
