eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
63.57142857142857,0.14285714285714285,82,1.0970198e-06,0.0,2.9444377,-0.00016908388,0.0043014986,0.005171477794647217,1,128,12.363359127019066,1024
81.4375,0.0625,96,1.5505268e-06,0.0,2.9444323,-0.0002509421,0.016426139,0.02055269479751587,2,256,23.236239640042186,2048
109.31818181818181,0.045454545454545456,99,2.5674456e-06,0.0,2.9444199,-0.0003268061,0.00016094324,0.4504087567329407,3,384,33.50266212003771,3072
103.90322580645162,0.0,87,1.2668344e-06,0.0,2.9444077,-0.00017219922,0.004182702,0.10849380493164062,4,512,45.216155421047006,4096
108.71111111111111,-0.044444444444444446,85,2.275336e-06,0.0,2.9444022,-0.00024045815,0.014702488,0.11594456434249878,5,640,57.26358531805454,5120
108.19607843137256,-0.0392156862745098,120,3.2515566e-06,0.0,2.9443874,-0.00043454557,0.0004442407,0.3476886749267578,6,768,65.78338734200224,6144
109.11666666666666,-0.03333333333333333,95,4.9333457e-06,0.0,2.944387,-0.00046317282,0.00033411646,0.24156886339187622,7,896,76.53105315403081,7168
109.67647058823529,-0.029411764705882353,84,3.5798066e-06,0.0,2.9443505,-0.00038646834,0.00024404848,0.08396667242050171,8,1024,88.65458114200737,8192
107.17333333333333,0.0,108,8.6291975e-06,0.0,2.9443002,-0.00048246607,0.00703268,0.16031283140182495,9,1152,98.08584773202892,9216
111.12941176470588,0.0,88,1.6832266e-05,0.0,2.9442039,-0.00079544407,0.00043640516,0.6435699164867401,10,1280,109.71370480000041,10240
110.1304347826087,-0.010869565217391304,81,1.6894932e-05,0.0,2.944095,-0.00080960133,0.00071173673,0.44946014881134033,11,1408,122.29499232204398,11264
114.12,0.0,92,3.5245295e-05,0.0,2.943954,-0.000834963,0.0033561327,0.28743189573287964,12,1536,133.37907261803048,12288
120.45,-0.02,99,2.5980848e-05,0.0,2.9434786,-0.00083843607,0.00043749277,0.4331884980201721,13,1664,143.65112631901866,13312
122.35,-0.04,92,0.0003187606,0.0,2.942714,-0.001893095,0.008009406,0.05355113744735718,14,1792,154.74839347600937,14336
122.85,-0.04,86,0.0060757,0.048339844,2.9275286,-0.009362642,0.0037621134,0.13966751098632812,15,1920,166.5232239110046,15360
119.68,-0.01,117,0.0030830957,0.0021972656,2.9010358,-0.0056815753,0.0037474742,0.17380297183990479,16,2048,175.23963955399813,16384
121.69,-0.01,95,0.008649692,0.051513672,2.851567,-0.0074611353,0.0040331995,0.28423523902893066,17,2176,185.95186426502187,17408
124.21,-0.01,86,0.0048389235,0.026611328,2.8151386,-0.010018254,0.0009789335,0.17778140306472778,18,2304,197.78562988701742,18432
122.36,0.0,97,0.0042995596,0.014160156,2.7926543,-0.006468313,0.0012736314,0.047504723072052,19,2432,208.34213910601102,19456
120.79,0.0,79,0.0050996393,0.028076172,2.7523005,-0.0051556425,0.009018453,0.10734182596206665,20,2560,221.28532591101248,20480
117.06,-0.02,67,0.0018890132,0.011230469,2.8100727,-0.004327591,0.007585178,0.26672542095184326,21,2688,236.5199297100189,21504
118.54,0.0,79,0.006017832,0.02734375,2.7777426,-0.0074652336,0.0038761997,0.2884935140609741,22,2816,249.36100114905275,22528
118.67,0.02,80,0.0045183566,0.01953125,2.8061185,-0.0035696735,0.009891116,0.20660120248794556,23,2944,262.1343649010523,23552
108.59,0.08,74,0.00982867,0.05078125,2.7366207,-0.006812114,0.011613437,0.35379254817962646,24,3072,275.94939943100326,24576
107.85,0.11,77,0.010458073,0.07324219,2.6418304,-0.010939307,0.0052515157,0.5476381778717041,25,3200,289.1829483610345,25600
103.75,0.15,93,0.007307043,0.05126953,2.5287879,-0.012073173,0.010129827,0.3710240125656128,26,3328,300.16772634902736,26624
105.28,0.19,70,0.00916957,0.08862305,2.559285,-0.016050685,0.0105141895,0.46509337425231934,27,3456,314.6567837630282,27648
102.71,0.23,67,0.009884291,0.05493164,2.420744,-0.008194205,0.009865039,0.5385498106479645,28,3584,329.74588899401715,28672
103.49,0.29,77,0.011602926,0.07543945,2.5357285,-0.009086753,0.011598032,0.43564969301223755,29,3712,342.9318044070387,29696
103.57,0.37,74,0.0038186596,0.021972656,2.5384314,-0.0052936804,0.0117212245,0.6089874804019928,30,3840,356.68409921904095,30720
102.19,0.41,76,0.010712577,0.05029297,2.4958427,-0.009766357,0.007824495,0.5987412929534912,31,3968,370.06944479601225,31744
104.26,0.44,72,0.0030062906,0.001953125,2.4647694,-0.004675351,0.009323114,0.6582866907119751,32,4096,384.2299298660364,32768
102.47,0.48,88,0.007971187,0.041015625,2.4421432,-0.00983702,0.009476146,0.625274658203125,33,4224,395.83181415800937,33792
102.93,0.51,72,0.006180377,0.028320312,2.4936435,-0.0056175496,0.009685607,0.41436511278152466,34,4352,409.9745332040475,34816
101.46,0.57,69,0.0076497435,0.056152344,2.466725,-0.008892955,0.010640649,0.5279455184936523,35,4480,424.64762056601467,35840
96.98,0.56,71,0.008033996,0.064697266,2.4036958,-0.011405847,0.011934643,0.17937469482421875,36,4608,438.9860831500264,36864
94.39,0.59,74,0.00942654,0.044433594,2.4591587,-0.005513864,0.01386285,0.16480565071105957,37,4736,452.6843901310349,37888
95.13,0.57,70,0.0017408163,0.0,2.494016,-0.0017136552,0.011097786,0.2861390709877014,38,4864,467.3118340730434,38912
94.53,0.59,70,0.0023698206,0.00024414062,2.5308414,-0.0054045697,0.012139976,0.4946340322494507,39,4992,481.81442959205015,39936
94.64,0.6,84,0.012924091,0.0703125,2.4237044,-0.0134011675,0.009456733,0.6414795219898224,40,5120,493.9056110290112,40960
93.15,0.64,77,0.0039578523,0.011474609,2.3979168,-0.0037478125,0.0057793134,0.7711988836526871,41,5248,507.0931288510328,41984
90.57,0.63,71,0.0094000865,0.029296875,2.3373866,-0.009465089,0.014574908,0.3232800364494324,42,5376,521.5028118900373,43008
90.31,0.65,77,0.0024238601,0.0146484375,2.3553393,-0.004476638,0.006952661,0.4969594478607178,43,5504,534.6333248820156,44032
88.98,0.66,73,0.012583222,0.13085938,2.3411026,-0.011116851,0.009823292,0.4203903079032898,44,5632,548.5084070099983,45056
