eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
35.76923076923077,0.723076923076923,101,3.5331736e-06,0.0,2.9444356,-0.00034272933,0.012739361,0.017097651958465576,1,128,10.043413320032414,1024
55.72727272727273,0.65,106,4.447349e-06,0.0,2.9444137,-0.00036996757,0.012256589,0.11748254299163818,2,256,19.75443404802354,2048
71.77142857142857,0.6971428571428572,109,8.327925e-06,0.0,2.9443684,-0.00050682167,0.009787684,0.24731910228729248,3,384,29.108709627995268,3072
70.66,0.716,103,1.9072151e-05,0.0,2.9442642,-0.0007434964,0.010035677,0.36861932277679443,4,512,39.02384606801206,4096
71.0,0.7441176470588237,107,1.1590624e-05,0.0,2.944149,-0.0005662507,0.009484231,0.4866630434989929,5,640,48.58901064901147,5120
67.3855421686747,0.7373493975903614,115,2.4967772e-05,0.0,2.9440477,-0.00086760917,0.0028053506,0.7410860359668732,6,768,57.458955515990965,6144
70.9186046511628,0.7383720930232557,127,9.839051e-05,0.0,2.9434686,-0.0014620225,0.0005760537,0.7436063587665558,7,896,65.49775207100902,7168
74.25,0.7369565217391305,114,0.00070903485,0.0,2.9409711,-0.0033904174,0.0014220153,0.7473986744880676,8,1024,74.46587962901685,8192
82.67,0.74,108,0.0017134387,0.00024414062,2.9281151,-0.0024258648,0.005069176,0.5797644555568695,9,1152,83.8793825780158,9216
87.17,0.738,143,0.0011624784,0.0,2.9231539,-0.005050189,0.0012348293,0.8044135719537735,10,1280,91.03618474403629,10240
87.65,0.757,116,0.0011261272,0.0,2.9177713,-0.002735196,0.0008904686,0.7575551718473434,11,1408,99.8380813060212,11264
93.19,0.7369999999999999,120,0.0016562364,0.0034179688,2.9156737,-0.0046514235,0.0014827752,0.765545517206192,12,1536,108.32594791299198,12288
93.94,0.747,129,0.0014187732,0.0036621094,2.9316432,-0.003022677,0.0028188797,0.7353877425193787,13,1664,116.25823538802797,13312
92.12,0.7360000000000001,114,0.00022810123,0.0,2.9382768,-0.0015753414,0.00882041,0.19159048795700073,14,1792,125.23750570899574,14336
95.67,0.7210000000000001,125,0.00076548953,0.0,2.937441,-0.00372794,0.0034858035,0.5220473408699036,15,1920,133.40681620204123,15360
105.7,0.732,127,0.00590669,0.032714844,2.904209,-0.009810273,0.0020591503,0.7420009672641754,16,2048,141.4336381169851,16384
107.88,0.7290000000000002,111,0.0029294153,0.0024414062,2.8849568,-0.007993273,0.0016222219,0.7550143003463745,17,2176,150.62345533800544,17408
98.16,0.735,116,0.011374727,0.078125,2.829701,-0.010338646,0.003338493,0.6643270552158356,18,2304,159.43913968501147,18432
102.71,0.73,134,0.0029009352,0.0063476562,2.8156178,-0.0061927773,0.0038587826,0.6256134510040283,19,2432,167.0504150959896,19456
97.61,0.731,112,0.002754524,0.008544922,2.7837956,-0.009088803,0.004139491,0.5933275818824768,20,2560,176.18850760901114,20480
85.66,0.746,102,0.00636602,0.020019531,2.7318032,-0.0066383565,0.0033466222,0.7518675476312637,21,2688,186.17053752101492,21504
79.18,0.7609999999999999,122,0.0070678988,0.01953125,2.6405144,-0.0073669064,0.002423815,0.7826886475086212,22,2816,194.53776702901814,22528
61.48,0.7699999999999999,125,0.0070220293,0.041015625,2.5790267,-0.013134298,0.0029177524,0.7715064883232117,23,2944,202.69307108403882,23552
56.43,0.7859999999999999,109,0.0036568088,0.009521484,2.6157465,-0.002222,0.0024982214,0.7700160890817642,24,3072,212.0238840720267,24576
51.62,0.796,108,0.007303293,0.052490234,2.5827515,-0.01545451,0.0017580675,0.7455506920814514,25,3200,221.44702714902814,25600
51.01,0.7959999999999999,136,0.008734274,0.064941406,2.5321805,-0.00935498,0.0019093275,0.779268279671669,26,3328,228.9269457650371,26624
55.85,0.8120000000000002,121,0.0044939066,0.009521484,2.4532688,-0.008191172,0.0028653934,0.7848195731639862,27,3456,237.37284570903284,27648
60.01,0.8170000000000001,105,0.011934112,0.05444336,2.6065714,-0.009764187,0.0033212095,0.7366040647029877,28,3584,247.0471934560337,28672
60.95,0.8210000000000001,130,0.0060309344,0.009033203,2.676733,-0.008544873,0.0022644347,0.7203533351421356,29,3712,254.87223051401088,29696
66.58,0.8220000000000001,121,0.0046728826,0.01171875,2.7731535,-0.0084141595,0.0015424533,0.79061658680439,30,3840,263.309977744997,30720
70.35,0.8260000000000001,90,0.00440532,0.021972656,2.765624,-0.0096583385,0.0016478333,0.8099537640810013,31,3968,274.6637630049954,31744
74.34,0.825,83,0.0011322306,0.0024414062,2.770565,-0.0023278282,0.001464682,0.8180208951234818,32,4096,286.961935378029,32768
78.28,0.8380000000000001,91,0.004164828,0.009521484,2.7584898,-0.0075169224,0.0074542067,0.27933788299560547,33,4224,298.1497695510043,33792
73.54,0.8500000000000001,90,0.0050063906,0.033447266,2.6458569,-0.008521244,0.0075884834,0.5210196673870087,34,4352,309.5026168359909,34816
74.95,0.846,83,0.002665122,0.0026855469,2.597853,-0.0070372983,0.0013032496,0.8296262323856354,35,4480,321.80370711302385,35840
76.04,0.8440000000000001,79,0.0056239674,0.0107421875,2.4500065,-0.00705084,0.0014453946,0.8070987462997437,36,4608,334.61697616399033,36864
75.49,0.8410000000000001,84,0.013105797,0.05419922,2.639382,-0.007544643,0.0018830133,0.7496507465839386,37,4736,346.7566102099954,37888
66.85,0.8430000000000001,92,0.005271073,0.014160156,2.5529397,-0.0070801084,0.0015272553,0.7857445180416107,38,4864,357.8891989120166,38912
59.3,0.8320000000000001,83,0.0038681272,0.0078125,2.6206086,-0.0052447887,0.0019017636,0.7635921537876129,39,4992,370.12606021703687,39936
61.25,0.8360000000000001,81,0.004444988,0.009521484,2.717127,-0.0059353705,0.0054559587,0.4848155975341797,40,5120,382.67882470600307,40960
63.41,0.8360000000000001,78,0.0019488077,0.0012207031,2.7383065,-0.0058603445,0.0011134552,0.8250114470720291,41,5248,395.80103675602004,41984
66.73,0.8380000000000001,80,0.00215657,0.00024414062,2.6814039,-0.0044555804,0.0014303385,0.7645400315523148,42,5376,408.50579881400336,43008
63.8,0.838,86,0.0046593486,0.012939453,2.6666317,-0.0058256458,0.0013816305,0.7889746874570847,43,5504,420.3928712590132,44032
65.02,0.8370000000000001,86,0.0018032767,0.0048828125,2.704601,-0.006258974,0.0014722164,0.8214450478553772,44,5632,432.2279890080099,45056
72.04,0.838,82,0.004275198,0.013671875,2.7935257,-0.003496157,0.00079076545,0.7860682159662247,45,5760,444.63252741500037,46080
74.01,0.8380000000000001,89,0.0068638325,0.028320312,2.7009904,-0.0103400955,0.0030339384,0.6407721042633057,46,5888,456.10774712701095,47104
77.72,0.82,88,0.009020977,0.052734375,2.7533455,-0.006300431,0.001272328,0.8539540022611618,47,6016,467.7269496960216,48128
68.59,0.8190000000000001,80,0.0025211074,0.0021972656,2.7287784,-0.006205006,0.0013151163,0.7964193671941757,48,6144,480.4587763210293,49152
70.92,0.8160000000000001,74,0.0060970415,0.01928711,2.737247,-0.005664991,0.0010697874,0.7894115746021271,49,6272,494.1847632380086,50176
72.06,0.8190000000000001,60,0.0011903755,0.00048828125,2.6644425,-0.0057763555,0.0011642379,0.8138512521982193,50,6400,511.15709874103777,51200
69.88,0.829,69,0.0025375185,0.004638672,2.6971796,-0.007288881,0.0061859353,0.3962629437446594,51,6528,525.9742189460085,52224
72.64,0.826,69,0.001347367,0.00048828125,2.7287383,-0.004284364,0.00089086423,0.8109460175037384,52,6656,540.8137245289981,53248
74.34,0.8270000000000002,69,0.00432527,0.008300781,2.698318,-0.008646871,0.0007793044,0.803869754076004,53,6784,555.5061086410424,54272
77.52,0.8190000000000001,67,0.001589854,0.0009765625,2.6943476,-0.0035435748,0.0049335803,0.48025214672088623,54,6912,570.6767346470151,55296
80.84,0.8190000000000001,63,0.0016639967,0.0007324219,2.718476,-0.0060051465,0.0010441123,0.8296635299921036,55,7040,586.740162659029,56320
81.62,0.8200000000000002,69,0.006258297,0.01977539,2.6285145,-0.00926566,0.0014339563,0.8387808948755264,56,7168,601.553543281043,57344
79.33,0.8340000000000002,66,0.0037741964,0.019042969,2.6484876,-0.009196839,0.0066222753,0.49235999584198,57,7296,616.989444225037,58368
79.04,0.8219999999999998,64,0.0043670903,0.012939453,2.6570194,-0.008461298,0.0011797412,0.8479263335466385,58,7424,632.8685456190142,59392
70.57,0.8240000000000001,63,0.005051672,0.009033203,2.5856323,-0.008299311,0.0012349284,0.8603228479623795,59,7552,648.9140594800119,60416
62.93,0.8280000000000001,65,0.0048232204,0.018798828,2.655101,-0.010337712,0.0011387767,0.8345862627029419,60,7680,664.6151806089911,61440
61.33,0.8330000000000001,64,0.004770286,0.010253906,2.6754935,-0.010351712,0.0012208666,0.8005018979310989,61,7808,680.4903069279972,62464
64.43,0.833,69,0.007585767,0.029052734,2.593004,-0.012020782,0.00081003876,0.8334233164787292,62,7936,695.1498925859923,63488
67.37,0.8210000000000001,66,0.0027205907,0.00390625,2.6132064,-0.0028396372,0.00077833387,0.8876276984810829,63,8064,710.4538941649953,64512
62.32,0.83,61,0.0031323335,0.0056152344,2.6055374,-0.011662462,0.0069524664,0.5428965389728546,64,8192,727.1072125280043,65536
64.2,0.8450000000000002,63,0.004127023,0.013671875,2.7200916,-0.0065968437,0.006717331,0.5008855760097504,65,8320,743.2949390250142,66560
69.18,0.8539999999999999,63,0.0010536416,0.0031738281,2.7368898,-0.005061084,0.0060450775,0.5194506049156189,66,8448,759.5065057930187,67584
73.84,0.8550000000000001,72,0.0057986905,0.036132812,2.6997998,-0.011857873,0.00075314386,0.8756023794412613,67,8576,773.6391108020325,68608
75.13,0.865,73,0.003043583,0.007080078,2.6353674,-0.0063883206,0.006459951,0.3633997440338135,68,8704,787.6099549590144,69632
68.98,0.8640000000000001,68,0.0021375169,0.0036621094,2.60096,-0.008353121,0.0007662323,0.8306529372930527,69,8832,802.595395831042,70656
64.01,0.8740000000000001,64,0.004489607,0.015380859,2.6012387,-0.010252135,0.006482008,0.4029305577278137,70,8960,818.5048436090001,71680
74.92,0.875,61,0.00961351,0.06518555,2.4954114,-0.009335855,0.0064098164,0.4657636284828186,71,9088,835.1714187980397,72704
75.11,0.871,70,0.0037938543,0.018310547,2.5484529,-0.009739058,0.0063778963,0.4073219299316406,72,9216,849.6338586609927,73728
70.3,0.867,66,0.003989898,0.014404297,2.5291955,-0.0045690965,0.001316763,0.8253901898860931,73,9344,865.0691472539911,74752
61.41,0.8900000000000001,64,0.0013549705,0.0007324219,2.559285,-0.0076591233,0.011268261,0.3355911374092102,74,9472,881.0457844720222,75776
61.57,0.89,69,0.007210014,0.032470703,2.619244,-0.009964997,0.0051425425,0.529575526714325,75,9600,895.7100501559908,76800
69.2,0.894,69,0.002408967,0.0026855469,2.6121566,-0.005250788,0.0012342009,0.8095114529132843,76,9728,910.4821830720175,77824
61.61,0.8960000000000001,74,0.002094803,0.005859375,2.5304809,-0.007997271,0.010890841,0.36657804250717163,77,9856,924.2986826060223,78848
57.34,0.882,62,0.009310194,0.053710938,2.5873103,-0.00997798,0.0015673515,0.834563821554184,78,9984,940.741606311989,79872
58.42,0.8850000000000001,65,0.0026477233,0.012207031,2.7002807,-0.007113493,0.00648753,0.40071940422058105,79,10112,956.4812230130192,80896
58.62,0.8589999999999999,69,0.0028284027,0.0068359375,2.666865,-0.0062552225,0.0010922835,0.8350517302751541,80,10240,971.2394324780325,81920
