eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
51.5,0.0,142,1.1359017e-06,0.0,2.9444377,-0.00023788624,4.9918097e-05,-2.124058961868286,1,128,7.194362152018584,1024
56.7037037037037,0.0,127,9.608463e-07,0.0,2.9444308,-0.0002006685,5.4624525e-05,-2.967139959335327,2,256,15.35691010998562,2048
62.054054054054056,0.0,152,3.1013337e-06,0.0,2.9444237,-0.0004456088,5.5462486e-05,-1.4873712062835693,3,384,22.09358840796631,3072
61.46808510638298,0.0,162,1.4938807e-05,0.0,2.944374,-0.00071957574,8.169106e-05,-1.550905466079712,4,512,28.408404070010874,4096
72.59649122807018,0.0,141,8.8989385e-05,0.0,2.9440153,-0.0010277319,0.00012555142,-2.558330535888672,5,640,35.658054500003345,5120
70.61764705882354,0.014705882352941176,142,4.0285915e-05,0.0,2.9434721,-0.0005375567,0.0039268225,-0.0035189390182495117,6,768,42.86766200896818,6144
81.92307692307692,0.01282051282051282,166,2.652033e-05,0.0,2.9435778,-0.00079269044,0.00013607153,-0.12799179553985596,7,896,49.00223578099394,7168
87.18888888888888,0.011111111111111112,148,0.000115307565,0.0,2.9430795,-0.0011022801,0.0001459591,-0.7233257293701172,8,1024,55.89484103501309,8192
86.9090909090909,0.010101010101010102,134,0.00012518723,0.0,2.9417305,-0.0015353626,9.39955e-05,-1.8341562747955322,9,1152,63.506742876023054,9216
94.51,0.01,168,0.00018543599,0.0,2.9427488,-0.0017044937,9.373681e-05,-2.902021884918213,10,1280,69.58623757801251,10240
92.75,0.01,158,5.871598e-05,0.0,2.9436944,-0.0009445456,8.712355e-05,-2.197736978530884,11,1408,76.04272423899965,11264
102.89,0.02,132,6.437048e-06,0.0,2.9439828,-0.00025943897,0.0041993223,-0.02842867374420166,12,1536,83.75189197598957,12288
103.82,0.02,171,2.0880265e-05,0.0,2.9440231,-0.00060573395,0.00013161913,0.12673431634902954,13,1664,89.71660103398608,13312
103.11,0.02,150,9.811236e-06,0.0,2.944281,-0.00037556555,8.5239415e-05,-0.19804978370666504,14,1792,96.5183920399868,14336
98.56,0.02,139,4.474003e-06,0.0,2.9442894,-0.00046027038,8.312857e-05,-1.035670518875122,15,1920,103.84046631597448,15360
98.01,0.0,151,2.5369345e-06,0.0,2.9442222,-0.00031387364,0.010575885,0.00931847095489502,16,2048,110.59166674799053,16384
93.67,0.0,155,8.359781e-06,0.0,2.9441798,-0.00059001136,0.00024382446,0.5730873048305511,17,2176,117.18389450496761,17408
91.56,0.0,148,0.0001587902,0.0,2.9436069,-0.0023754998,0.00021166736,0.6281329095363617,18,2304,124.07879635802237,18432
89.53,0.0,140,0.00063470553,0.0,2.9395826,-0.0023393016,0.00032754918,0.457916796207428,19,2432,131.3644982209662,19456
90.96,0.0,172,0.010842321,0.06738281,2.911999,-0.011116725,0.0004044301,0.6270442306995392,20,2560,137.31473901699064,20480
96.42,-0.02,146,0.004236227,0.00390625,2.9067562,-0.009674092,0.0021681038,0.25624513626098633,21,2688,144.30702583596576,21504
95.25,-0.01,137,0.013365515,0.123046875,2.8866396,-0.008741472,0.0046905586,0.18233829736709595,22,2816,151.73060305201216,22528
